abandon  vt.放弃,遗弃;n.放任,狂热                
abnormal  adj.反常的,变态的;                
abolish  vt.废止,废除(法律、制度、习俗等)                
abortion  n.流产,堕胎,失败,夭折,中止,早产                
abrupt  adj.突然的,陡峭的,生硬的                
absence  n.不在,缺席,缺乏,没有                
absorb  vt.吸收,吸引                
abstract  n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化              
absurd  adj.荒谬的,可笑的                
abundance  n.丰富,充裕,丰富充裕                
abundant  adj.丰富的,充裕的,丰富,盛产,富于                
abuse  n.滥用,虐待,辱骂,陋习;v.滥用,虐待,辱骂                
academic  adj.学院的,理论的                
accelerate  v.加速,促进                
acceptance  n.接受,承诺,容忍,赞同,相信                
access  n.通路,访问,入门;vt.存取,接近                
accessory  n.附件,零件,附加物,从犯,同谋者;adj.附属的,补充的,同谋的,副的                
accident  n.意外事件,事故                
accommodate  vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应                
accommodation  n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合            
accomplish  vt.完成,达到,实现                
accord  n.一致,符合,调和,协定;vt.一致,给与;vi.符合                
accordance  n.一致,和谐                
account  n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为                
accumulate  v.积聚,堆积                
accurate  adj.正确的,精确的                
accuse  vt.控告,谴责,非难                
accustomed  adj.通常的,习惯的,按照风俗习惯的                
achievement  n.成就,功绩                
acid  n.[化]酸,<俚>迷幻药;adj.酸的,讽刺的,刻薄的                
acknowledge  vt.承认,答谢,报偿                
acquaint  vt.使熟知,通知                
acquaintance  n.相识,熟人                
acquire  vt.获得,学到                
activate  vt.刺激,使活动;vi.有活力                
acute  adj.敏锐的,[医]急性的,剧烈                
adapt  vt.使适应,改编                
addict  vt.使沉溺,使上瘾;n.入迷的人,有瘾的人                
addition  n.加,加起来,增加物,增加,加法                
additional  adj.另外的,附加的,额外的                
adequate  adj.适当的,足够的                
adhere  vi.粘附,胶着,坚持;v.坚持                
adjacent  adj.邻近的,接近的                
adjoin  v.邻接,毗连                
adjust  vt.调整,调节,校准,使适合                
administratio  n.管理,经营,行政部门                
admit  v.容许,承认,接纳                
adolescent  adj.青春期的,青春的;n.青少年                
adopt  vt.采用,收养                
adore  v.崇拜,爱慕,(口语)喜爱                
advantage  n.优势,有利条件,利益                
adverse  adj.不利的,敌对的,相反的                
advocate  n.提倡者,鼓吹者;vt.提倡,鼓吹                
aerial  adj.航空的,生活在空气中的,空气的,高耸的;n.天线                
aesthetic  adj.美学的,审美的,有审美感的                
affection  n.友爱,爱情,影响,疾病,倾向                
affiliate  v.(使...)加入,接受为会员                
affirm  v.断言,确认,肯定                
afflict  vt.使痛苦,折磨                
aggregate  n.合计,总计,集合体;adj.合计的,集合的,聚合的;v.聚集,集合,合计              
