abashed           [ə'bæʃt]              adj. 不安的；窘迫的；尴尬的
abate             [ə'beit]              vt. 缓和,减弱,减少,废除 vi. 缓和,减弱,减少
abdicate          [æbdi'keit]           vt. 放弃 vi. 逊位
abduct            [æb'dʌkt]             vt. 诱拐,绑走
abhorrent         [əb'hɔrənt]           a. 令人憎恨的,可恶的,不一致的,相反的,厌恶的
ablaze            [ə'bleiz]             a. 着火的,闪亮的,激昂的 ad. 着火,闪耀
aboriginal        [æbə'ridʒənl]         a. 原始的,土著的 n. 土著居民,土生生物
abortive          [ə'bɔrtiv]            a. 流产的,堕胎的,失败的
abound            [ə'baund]             vi. (in)富于; 大量存在; 充满
abrasion          [ə'breiʒn]            n. 表面磨损
abridge           [ə'bridʒ]             vt. 删节,缩短,剥夺
absolve           [əb'zɔlv]             vt. 宣告……无罪,赦免,免除
absorbing         [əb'sɔ:biŋ]           a. 吸引人的,非常有趣的
abstain           [əb'stein]            vi. 自制,戒绝,弃权,避免
abstinence        ['æbstinəns]          n. 节制,禁欲,戒酒
abstraction       [æb'strækʃən]         n. 抽象化,心不在焉,提炼,抽象派作品
abstruse          [æb'stru:s]           a. 难解的,深奥的
accentuate        [æk'sentʃueit]        vt. 以重音念,强调,重读
accomplice        [ə'kɔmplis]           n. 共犯,同谋
accost            [ə'kɔst]              vt. 招呼,搭讪,勾引
acoustic          [ə'ku:stik]           a. 非电声乐器的; 听觉的
acquisitive       [ə'kwizitiv]          a. 想获得的,贪得的
acquit            [ə'kwit]              vt. 开释,释放,完成,表现
acrid             ['ækrid]              a. 苦味的,辛辣的,尖刻的
acrimonious       [ækri'mouniəs]        a. 严厉的,辛辣的,刻毒的
acrimony          ['ækrə'məuni]         n. 严厉,辛辣,刻毒
acumen            [ə'kju:mən]           n. 敏锐,聪明
adage             ['ædidʒ]              n. 格言,谚语
adaptable         [ə'dæptəbl]           a. 能适应的,可修改的
additive          ['æditiv]             a. 添加的; 加法的 n. 添加剂
