abandon,v./n.放弃；放纵
abash,v.使害羞，使尴尬
abate,v.减轻，减少
abbreviate,v.缩短；缩写
abdicate,v.退位，辞职，放弃
aberrant,a.越轨的；异常的
aberration,n.离开正路，脱离常轨；变形
abet,v.教唆，鼓励，帮助
abeyance,n.中止，搁置
abhor,v.憎恨，嫌恶
abhorrent,a.可恨的，讨厌的
abide,v.容忍，忍受
abject,a.极可怜的;卑下的
abjure,v.发誓放弃
ablution,n.(宗教的)净礼，沐浴
abnegate,v.否认，放弃
abolish,v.废止，废除(法律、制度、习俗等)
abolition,n.废除，革除
abominate,v.痛恨；厌恶
aboveboard,a./adv.光明正大的(地)
abrade,v.磨损，磨小
abrasion,n.表面磨损
abrasive,a.磨损的；生硬粗暴的
abreast,adv.并列，并排
abridge,v.删减；缩短
abrogate,v.废止，废除
abscission,n.[医]切除，截去；[植]脱离
abscond,v.潜逃，逃亡
absenteeism,n.旷课，旷工
absolute,a.绝对的，完全的; 无(条件)限制的
absolve,v.赦免，免除
absorb,v.吸收；同化；吸引…的注意
abstain,v.禁绝，放弃
abstemious,a.有节制的，节俭的
abstention,n.节制
abstentious,a.节制的
abstract,n.摘要；a.抽象的
abstruse,a.难懂的，深奥的
absurd,a.荒谬的，可笑的
abundance,n.充裕，多量
abundant,a.丰富的，盛产的
abuse,v./n.辱骂; 滥用
abusive,a.漫骂的；毁谤的；虐待的
abut,v.接界，毗连
abysmal,a.极深的；糟透的
academic,a.学院的，学术的；理论的
academician,n.院士；学会会员
accede,v.同意
accelerate,v.加速；促进
accentuate,v.重读；强调
access,n.通路；途径
accessible,a.易达到的；易受影响的
accessory,a.附属的，次要的
acclaim,v.欢呼，称赞
acclimate,v.使服水土; 使适应
accolade,n.推崇；赞扬
accommodate,v.与…一致；提供食宿
accommodating,a.乐于助人的
accompany,v.伴随，陪伴
accomplice,n.同谋者，帮凶
accomplish,v.完成，做成功
accomplished,a.完成了的；有技巧的，有造诣的
accord,v./n.同意；一致
accost,v.搭话
accountability,n.负有责任
accrete,v.逐渐增长；添加生长；连生
accretion,n.自然的增加；增加物
accrue,v.(利息等)增大；增多
accumulate,v.积聚，积累
accuracy,n.精确，准确
accurate,a.精确的，准确的
accuse,v.谴责，指责
acerbic,a.苦涩的；刻薄的
acknowledge,v.承认；致谢
acme,n.顶点，极点
acolyte,n.(教士的)助手，侍僧
acorn,n.橡子，橡果
acoustic,a.听觉的，有关声音的
acquaint,v.使…熟知；通知
acquaintance,n.熟知；熟人
acquainted,a.对某事物熟悉的；对某人认识的
acquiesce,v.勉强同意，默许
acquired,a.后天习得的
acquisitive,a.渴望得到的，贪婪的
acquit,v.宣告无罪；脱卸义务和责任；还清(债务)
acquittal,n.宣告无罪，开释
acrid,a.辛辣的，刻薄的
acrimonious,a.尖刻的，严厉的
acrimony,n.尖刻，刻薄
acrobat,n.特技演员，杂技演员
acrophobia,n.恐高症
acuity,n.(尤指思想或感官)敏锐
acumen,n.敏锐，精明
acute,a.灵敏的；[病]急性的
adage,n.格言，古训
adamant,a.强硬的；固执的
adapt,v.使…适应；修改
adaptable,a.有适应能力的；可改编的
addendum,n.补充，附录
addict,v./n.沉溺；上瘾(者)
addition,n.增加，附加
additive,n.添加剂
address,v.处理，对付，着手解决；致词
adept,a.老练的，精通的
adequate,a.足够的
adhere,v.粘着
adherent,n.拥护者，信徒
adhesive,a.带粘性的，胶粘的；n.胶合剂
adjacent,a.接近的，毗连的
adjourn,v.使延期，推迟；休会
adjunct,n.附加物，附件
adjust,v.整顿，整理；适应
admire,v.钦佩，赞赏
admission,n.许可；入会费；承认
admonish,v.训诫；警告
adobe,n.泥砖，土坯
adolescent,a.青春期的；n.青少年
adopt,v.收养；采纳
adore,v.崇拜；热爱
adorn,v.装饰
adroit,a.熟练的，灵巧的
adulate,v.谄媚，奉承
adulterate,v.掺假
adumbrate,v.(对将来事件)预示
advent,n.到来，来临
adventitious,a.偶然的
adverse,a.不利的，相反的；敌对
advertise,v.做广告
advisable,a.适当的，可行的
advocacy,n.拥护，支持
advocate,>v.拥护，支持，鼓吹；n.支持者，拥护者
aegis,n.盾；保护，庇护
aerate,v.充气，让空气进入
aerial,a.空中的，空气中的
aesthete,n.审美家
aesthetic,a.美学的，有审美感的
affable,a.易于交谈的；和蔼的
affectation,n.做作，虚假
affected,a.不自然的；假装的
affection,n.爱
affidavit,n.宣誓书
affiliate,v.加入；联合
affiliation,n.联系，联合
affinity,n.密切关系；吸引力
affirm,v.确认；肯定
affix,v.粘上，贴上；在合同上添写某事物；n.词缀
afflict,v.使痛苦，折磨
affliction,n.悲痛，受难的起因
affluence,n.充裕，富足
affluent,a.富裕的，丰富的
affordable,a.能够支付的
affront,v.侮辱，冒犯
agenda,n.议程
agglomerate,v.凝聚，结块
aggrandize,v.增大，扩张；吹棒
aggravate,v.加重，恶化
aggregate,v.集合；合计
aggression,n.侵略；敌对的情绪或行为
aggressive,a.好斗的；进取的
aggressor,n.侵略者，攻击者
aggrieve,v.使受委屈；使痛苦
agile,a.敏捷的，灵活的
agility,n.敏捷
agitate,v.搅动，煽动；使不安，使焦虑
agitated,a.被鼓动的；不安的
agnostic,a.不可知论的
agog,a.兴奋的，有强烈兴趣的
agony,n.极大痛苦
agrarian,a.土地的
agreeable,a.令人喜悦的；欣然同意的
agronomy,n.农学，农艺学
ail,v.生病
airborne,a.空气传播的；空运的
airtight,a.密闭的，不透气的
alabaster,a.雪白的
alacrity,n.乐意，欣然；敏捷，活泼
albeit,conj. 虽然，尽管
alchemy,n.炼金术
alcove,n.凹室
alert,a.警惕的，机警的; n.警报
alias,n.化名，别名
alibi,n.某人当时不在犯罪现场的申辩或证明
alienate,v.疏远，离间某人
align,v.将某物排列在一条直线上；与某人结盟
alimentary,a.饮食的，营养的
alkali,n.碱
allay,v.减轻，缓和
allege,v.(无证据)陈述，宣称
allegiance,n.忠诚，拥护
allegory,n.寓言
allergic,a.过敏的；对…讨厌的
allergy,n.过敏症；厌恶
alleviate,v.缓和，减轻
allocate,v.配给，分配
allowance,n.津贴，补助；承认，允许
allude,v.间接提到，暗指
alluring,a.吸引人的，迷人的
allusion,n.暗示，间接提示
aloft,adv.在空中，在头顶上
aloof,a.冷淡的，疏远的
alphabetical,a.按字母表顺序的
alter,v.改变，更改
alternate,a.轮流的，交替的；v.轮流，交替n.候选人，替代性选择
altruism,n.利他主义；无私
altruistic,a.无私的，为他人着想的
aluminium,n.铝
amalgam,n.混合物
amalgamate,v.合并；混合
amass,v.积聚
amateur,n.业余爱好者
amateurish,a.业余爱好的，不熟练的
ambidextrous,a.十分灵巧的
ambiguous,a.含糊的
ambivalence,n.矛盾心理
ambivalent,a.(对人或物)有矛盾看法的
amble,n./v.漫步，缓行
ambush,v.埋伏；伏击
ameliorate,v.改善，改良
amenable,a.愿服从的，通情达理的
amend,v.修正；通常向更好的方向变化
amendment,n.改正，修正；[法]修正案
amenity,n.礼仪；使人感到舒适的事物
amiable,a.和蔼的，亲切的
amicable,a.友好的
amity,n.(人或国之间的)友好关系
amnesia,n.健忘症
amnesty,n.大赦，特赦
amorphous,a.无定形的
amortize,v.分期偿还
amphibian,n.两栖动物；水陆两用飞行器
ample,a.富足的；充足的
amplify,v.放大；详述
amplitude,n.广大，广阔
amulet,n.护身符
amuse,v.使愉快，逗某人笑
anachronistic,a.年代出错的
anaerobic,a.厌氧的
anagram,n.变形词
analgesia,n.无痛觉，痛觉丧失
analgesic,n.镇痛剂；a.止痛的
analogous,a.类似的
analogy,n.相似；类比
analyze,v.分析，分解
anarchist,n.无政府主义者
anarchy,n.无政府;政治上的混乱
anathema,n.被诅咒的人；宗教意义的诅咒
anatomical,a.解剖学的
ancestor,n.祖先，祖宗
ancestry,n.家系
anchor,v.稳固；固定n.锚
ancillary,a.辅助的；n.助手
anecdote,n.短故事；轶事
anemia,n.贫血，贫血症
anesthetic,n.麻醉剂；a.麻醉的
anguish,n.极大痛苦
angular,a.有角的；(指人)瘦削的
anhydrous,a.无水的
animate,a.活的，有生命的；v.赋予生命
animated,a.活泼的，生动的
animation,n.活泼，有生气；卡通制作
animosity,n.憎恶，仇恨
animus,n.敌意，憎恨
annals,n.编年史
annexation,n.并吞，合并
annihilate,v.消灭
annotate,v.注解
announce,v.宣布，发表；通报…的到来
annoy,v.惹恼；打搅，骚扰
annul,v.宣告无效；取消
anomalous,a.反常的；不规则的
anomaly,n.异常，反常
anonymity,n.无名，匿名
anonymous,a.匿名的
anorexia,n.厌食症
antagonism,n.反抗，敌意
antagonize,v.使对抗；与…对抗
Antarctic,a.南极的
antecedence,n.居先，优先
antecedent,n.前事；前辈；a.先行的
antediluvian,a.史前的；陈旧的
antenna,n.触角；天线
anterior,a.较早的，以前的
anthem,n.圣歌；赞美歌，国歌
anthology,n.诗集，文选
anthropologist,n.人类学家
antibiotic,n.抗生素
antibody,n.抗体(身体中的抗病物质)
antic,a.古怪的
anticipate,v.预期，期待
anticipatory,a.预想的，预期的
anticlimax,n.令人扫兴的结局
antidote,n.解毒药
antihistamine,n.(治疗过敏的)抗组胺剂
antipathy,n.反感，厌恶
antiquated,a.陈旧的，过时的
antique,a.古时的，古老的；n.古物，古董
antiquity,n.古；古人；古迹
antiseptic,n.杀菌剂；a.防腐的
antithesis,n.对立；相对
anvil,n.铁砧
aorta,n.主动脉
apex,n.顶点，最高点
aphorism,n.格言
apiary,n.养蜂场，蜂房
aplomb,n.沉着，镇静
apocalyptic,a.预示世界末日的；启示的
apocrypha,n.伪经，伪书
apocryphal,a.假冒的，虚假的
apogee,n.远地点
apologize,v.道歉；辩解
apoplectic,a.中风的；愤怒的
apostasy,n.背教，脱党
apostate,n.背教者；变节者
apostrophe,n.书写中撇号(’)(表示省略或所有格)
apothecary,n.药剂师
appall,v.使惊骇，使恐怖
apparatus,n.仪器，设备
apparel,n.(精致的)衣服
apparition,n.幽灵，神奇的现象
appeal,v.恳求；吸引；上诉
appease,v.使平静，安抚
appellation,n.名称，称呼
appetite,n.欲望，食欲，爱好
appetizer,n.开胃品
appetizing,a.美味可口的，促进食欲的
applaud,v.鼓掌表示欢迎或赞赏
applause,n.鼓掌，喝彩
applicable,a.生效的，适合的
applicant,n.申请人
application,n.请求，申请；应用，应用程序
appoint,v.任命，指定；约会
apposite,a.适当的，恰当的
appraise,v.评价，鉴定
appreciable,a.明显的
appreciate,v.欣赏；感激
apprehend,v.逮捕；恐惧
apprehensive,a.害怕的；有眼力的
apprentice,n.学徒
apprise,v.通知，告诉
approach,v.接近，靠近；着手处理；n.方法
approbation,n.称赞，认可
appropriate,v.拨款；盗用；a.恰当的
approximate,a.大约的，估计的
apron,n.围裙
apropos,a./adv.适宜的(地)；有关
apt,a.易于…的，恰当的
aptitude,n.适宜；才能，资质
aquatic,a.水生的，水中的
aqueduct,n.引水渠；高架渠
aquifer,n.含水土层
arabesque,n.蔓藤图饰
arable,a.可耕的，适合种植的
arbiter,n.权威人士，泰斗
arbitrary,a.专横的，不理智的
arbitrate,v.仲裁，公断
arboreal,a.树木的
arboretum,n.植物园
arcane,a.神秘的，秘密的
arch,n.拱门，拱形
archaeology,n.考古学
archetype,n.原型；典型例子
archipelago,n.群岛
architect,n.建筑师
archive,n.档案室
arctic,a.北极的；极寒的
ardent,a.热心的，热烈的
arena,n.(角斗的)竞技场
argot,n.隐语，黑话
aria,n.独唱曲，咏叹调
arid,a.干旱的；枯燥的
aristocracy,n.贵族；贵族政府，贵族统治
armada,n.舰队
armistice,n.休战，停战
armory,n.军械库
aroma,n.芳香，香气
aromatic,a.芬芳的，芳香的
arouse,v.唤醒；激发
array,v.部署；n.陈列；大批
arrest,v.依法逮捕；阻止，抑制
arresting,a.显著的，引人注意的
arrhythmic,a.无节奏的；不规则的
arrogance,n.傲慢，自大
arrogant,a.傲慢的，自大的
arrogate,v.冒称具有…权利
arroyo,n.干涸的河床；小河
arsenal,n.军械库
arson,n.纵火，放火
artery,n.动脉，命脉
arthritis,n.关节炎
articulate,v.清楚说话
artifact,n.人工制品
artifacts,n.史前古器物
artifice,n.巧办法；诡计
artificial,a.人造的，假的
artistry,n.艺术技巧
artless,a.粗俗的；自然的
ascendancy,n.统治权，支配力量
ascetic,a.禁欲的；n.苦行者
ascribe,v.归功于；归咎于
aseptic,a.洁净的；无菌的
asparagus,[植]芦笋，龙须菜(可作蔬菜)
aspect,n.(问题等的)方面；面貌，外表
aspen,n.白杨
asperity,n.严酷；粗鲁
aspersion,n.诽谤，中伤
asphyxiate,v.(使)无法呼吸，窒息而死
aspirant,n.有抱负者
aspiration,n.抱负，热望
aspire,v.向往，有志于
assail,v.抨击；猛攻
assault,n.突然袭击；猛袭
assay,v./n.试验，测定
assemble,v.集合，聚集
assent,v.同意，赞成
assert,v.断言，主张
assertive,a.过分自信的；有进取心的
assertiveness,n.过分自信
assess,v.确定，评定；估计…的质量
assessment,n.估计，评价
asset,n.财产；可取之处
assiduous,a.勤勉的；专心的
